id,user_name,created_at,text
1536772743559004161,Kellogg Company,2022-06-14 18:09:08+00:00,b'Blast off to breakfast in 3\xe2\x80\xa62\xe2\x80\xa61! Liftoff! https://t.co/sGWq3a1zqE https://t.co/9IYh5jGJ8N'
1536365808712323072,Kellogg Company,2022-06-13 15:12:07+00:00,"b'We\xe2\x80\x99re proud to annouce our $150K investment in @BattleCreekCity\xe2\x80\x99s on-demand mobility service, BCGo, as part of our\xe2\x80\xa6 https://t.co/92zeVjLirH'"
1536346578360733698,Kellogg Company,2022-06-13 13:55:42+00:00,b'It\xe2\x80\x99s always a GR-R-REAT day to create #BetterDays! We joined @Gleaners and @JayTowers in Detroit to donate 335k cer\xe2\x80\xa6 https://t.co/KlmEk6LV26'
1535273427141017604,Kellogg Company,2022-06-10 14:51:23+00:00,b'Thanks to @NALC_National and everyone who supported this important effort to feed our neighbors create #BetterDays https://t.co/AJolCZdlys'
1534988802523013120,Kellogg Company,2022-06-09 20:00:23+00:00,"b'Summers can be hard for the 1 in 8 people in the US with food insecurity. Stephanie Slingerland, Sr. Dir., Philanth\xe2\x80\xa6 https://t.co/4Igm026u0p'"
1534252942349713408,Kellogg Company,2022-06-07 19:16:21+00:00,b']The limited-edition @Pop-TartsUS D\xc3\xada de Muertos box was recently honored with the 2022 Strategic Excellence Award\xe2\x80\xa6 https://t.co/DMEAuJTttH'
1532400672418807810,Kellogg Company,2022-06-02 16:36:05+00:00,"b'Proud to collaborate with initiatives like NEON x @GLAAD to create opportunities through programming, representatio\xe2\x80\xa6 https://t.co/sTX3XfgMvk'"
1531992953203433473,Kellogg Company,2022-06-01 13:35:57+00:00,"b'We are proud to announce that our Global #CIO, Lesley Salmon, has been selected as one of 50 CIOs on @Forbes\xe2\x80\x99 2022\xe2\x80\xa6 https://t.co/LanIAk2tpI'"
1529131223389548547,Kellogg Company,2022-05-24 16:04:28+00:00,"b'Kellogg worked with @wfpusa to support UN @wfp &amp; @samexhibition ""Zero Hunger"" mural by Lula Goce to raise awareness\xe2\x80\xa6 https://t.co/5DbNQEFREK'"
1529095298672369665,Kellogg Company,2022-05-24 13:41:43+00:00,"b'RT @Lead_eu_net: \xf0\x9d\x97\xa7\xf0\x9d\x97\xb5\xf0\x9d\x97\xb2 \xf0\x9d\x97\xb7\xf0\x9d\x97\xbc\xf0\x9d\x98\x82\xf0\x9d\x97\xbf\xf0\x9d\x97\xbb\xf0\x9d\x97\xb2\xf0\x9d\x98\x86 \xf0\x9d\x98\x81\xf0\x9d\x97\xbc \xf0\x9d\x9f\xb1\xf0\x9d\x9f\xac/\xf0\x9d\x9f\xb1\xf0\x9d\x9f\xac\xe2\x84\xa2 captures top-level insights from #CEOs for CEOs. Steve Cahillane, Chairman &amp; CEO @KelloggCompany:\xe2\x80\x9cma\xe2\x80\xa6'"
